,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team,
0,25/10/2024,18:30,Liga MX,Apertura 2024 Regular Season,Fri,Home,,,,Mazatlán,,,,,,,,,,,,,,,,,,Santos Laguna,
1,25/10/2024,20:00,Liga MX,Apertura 2024 Regular Season,Fri,Home,,,,Guadalajara,,,,,,,,,,,,,,,,,,Puebla,
2,26/10/2024,16:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,,,,Querétaro,,,,,,,,,,,,,,,,,,Leon,
3,26/10/2024,18:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,,,,Cruz Azul,,,,,,,,,,,,,,,,,,Pumas UNAM,
4,26/10/2024,20:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,,,,Pachuca,,,,,,,,,,,,,,,,,,UANL,
5,26/10/2024,20:05,Liga MX,Apertura 2024 Regular Season,Sat,Home,,,,Tijuana,,,,,,,,,,,,,,,,,,Atlas,
6,27/10/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sun,Home,,,,Atlético,,,,,,,,,,,,,,,,,,FC Juarez,
7,27/10/2024,17:00,Liga MX,Apertura 2024 Regular Season,Sun,Home,,,,Toluca,,,,,,,,,,,,,,,,,,Necaxa,
8,27/10/2024,19:00,Liga MX,Apertura 2024 Regular Season,Sun,Home,,,,Monterrey,,,,,,,,,,,,,,,,,,America,
0,06/07/2024,21:00,Liga MX,Apertura 2024 Regular Season,Sat,Home,W,1,0,Mazatlán,2,0.6,65,15206,Ignacio Rivero,05/04/2001,4-2-3-1,,Match Report,,16,7,18.6,0,0,0,2024,Cruz Azul,
1,13/07/2024,21:10,Liga MX,Apertura 2024 Regular Season,Sat,Away,W,4,0,Monterrey,1.9,0.4,54,45957,Ignacio Rivero,4-1-4-1,04/04/2002,,Match Report,,14,7,19.1,1,1,1,2024,Cruz Azul,
2,16/07/2024,21:05,Liga MX,Apertura 2024 Regular Season,Tue,Home,W,3,0,Tijuana,2.2,0.5,39,,Ignacio Rivero,03/04/2003,4-2-3-1,,Match Report,,17,6,17.1,0,0,0,2024,Cruz Azul,
3,20/07/2024,21:05,Liga MX,Apertura 2024 Regular Season,Sat,Home,D,1,1,Toluca,1.7,0.6,67,,Ignacio Rivero,05/03/2002,4-2-3-1,,Match Report,,21,5,16.9,1,0,0,2024,Cruz Azul,
4,23/08/2024,19:00,Liga MX,Apertura 2024 Regular Season,Fri,Away,W,2,0,Querétaro,2,0.3,63,,Ignacio Rivero,3-1-4-2,03/05/2002,,Match Report,,22,4,19.6,0,1,1,2024,Cruz Azul,
