,team,opponent,date,venue,time,comp,round,day,result,gf,ga,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season
0,Atlético San Luis,Tigres UANL,2025-01-11,Home,17:00,,,,,,,,,,,,,,,,,,,,,,,
1,Tijuana,Toluca,2025-01-10,Home,19:00,,,,,,,,,,,,,,,,,,,,,,,
2,Querétaro,América,2025-01-10,Home,19:00,,,,,,,,,,,,,,,,,,,,,,,
3,Mazatlán,FC Juárez,2025-01-10,Home,20:00,,,,,,,,,,,,,,,,,,,,,,,
4,Pumas UNAM,Necaxa,2025-01-12,Home,12:00,,,,,,,,,,,,,,,,,,,,,,,
5,Monterrey,Puebla,2025-01-11,Home,19:00,,,,,,,,,,,,,,,,,,,,,,,
6,Guadalajara,Santos Laguna,2025-01-11,Home,19:05,,,,,,,,,,,,,,,,,,,,,,,
7,Cruz Azul,Atlas,2025-01-11,Home,21:00,,,,,,,,,,,,,,,,,,,,,,,
8,Cruz Azul,Mazatlán,2024-07-06,Home,21:00,Liga MX,Apertura 2024 Regular Season,Sat,W,1.0,0.0,2.0,0.6,65.0,15206.0,Ignacio Rivero,5-4-1,4-2-3-1,,Match Report,,16.0,7.0,18.6,0.0,0.0,0.0,2024.0
9,Cruz Azul,Monterrey,2024-07-13,Away,21:10,Liga MX,Apertura 2024 Regular Season,Sat,W,4.0,0.0,1.9,0.4,54.0,45957.0,Ignacio Rivero,4-1-4-1,4-4-2,,Match Report,,14.0,7.0,19.1,1.0,1.0,1.0,2024.0
10,Cruz Azul,Tijuana,2024-07-16,Home,21:05,Liga MX,Apertura 2024 Regular Season,Tue,W,3.0,0.0,2.2,0.5,39.0,25414.0,Ignacio Rivero,3-4-3,4-2-3-1,Ismael Lopez,Match Report,,17.0,6.0,17.1,0.0,0.0,0.0,2024.0
11,Cruz Azul,Toluca,2024-07-20,Home,21:05,Liga MX,Apertura 2024 Regular Season,Sat,D,1.0,1.0,1.7,0.6,67.0,25862.0,Ignacio Rivero,5-3-2,4-2-3-1,Jesus Lopez,Match Report,,21.0,5.0,16.9,1.0,0.0,0.0,2024.0
12,Cruz Azul,Querétaro,2024-08-23,Away,19:00,Liga MX,Apertura 2024 Regular Season,Fri,W,2.0,0.0,2.0,0.3,63.0,27884.0,Ignacio Rivero,3-1-4-2,3-5-2,Guillermo Pacheco,Match Report,,22.0,4.0,19.6,0.0,1.0,1.0,2024.0
13,Cruz Azul,América,2024-08-31,Home,21:10,Liga MX,Apertura 2024 Regular Season,Sat,W,4.0,1.0,0.9,0.7,54.0,25282.0,Erik Lira,3-1-4-2,3-4-3,César Arturo Ramos,Match Report,,10.0,6.0,18.1,0.0,0.0,0.0,2024.0
14,Cruz Azul,León,2024-09-14,Away,20:35,Liga MX,Apertura 2024 Regular Season,Sat,W,2.0,1.0,2.0,1.3,57.0,21585.0,Charly Rodríguez,3-1-4-2,4-1-2-1-2,Maximiliano Quintero,Match Report,,22.0,7.0,18.2,0.0,0.0,0.0,2024.0
15,Cruz Azul,Atlético,2024-09-17,Away,19:00,Liga MX,Apertura 2024 Regular Season,Tue,L,1.0,3.0,0.6,2.7,56.0,18971.0,Ignacio Rivero,3-1-4-2,4-2-3-1,Oscar Mejia,Match Report,,13.0,4.0,16.9,0.0,0.0,0.0,2024.0
16,Cruz Azul,Guadalajara,2024-09-21,Home,21:05,Liga MX,Apertura 2024 Regular Season,Sat,W,1.0,0.0,1.9,0.8,56.0,25851.0,Ignacio Rivero,5-4-1,4-1-3-2,Daniel Quintero,Match Report,,18.0,5.0,16.0,0.0,0.0,0.0,2024.0
17,Cruz Azul,Pachuca,2024-09-28,Away,19:05,Liga MX,Apertura 2024 Regular Season,Sat,W,4.0,2.0,2.4,1.8,70.0,14462.0,Ignacio Rivero,3-1-4-2,4-1-4-1,Adonai Escobedo,Match Report,,17.0,9.0,18.3,1.0,0.0,0.0,2024.0
18,Cruz Azul,Necaxa,2024-10-05,Home,17:00,Liga MX,Apertura 2024 Regular Season,Sat,W,3.0,0.0,1.9,0.7,68.0,25589.0,Charly Rodríguez,3-1-4-2,4-3-1-2,Guillermo Pacheco,Match Report,,13.0,3.0,17.0,1.0,0.0,0.0,2024.0
19,Cruz Azul,Puebla,2024-10-18,Away,21:05,Liga MX,Apertura 2024 Regular Season,Fri,W,2.0,1.0,2.4,0.4,62.0,34978.0,Charly Rodríguez,3-1-4-2,5-3-2,Charles Terrazas,Match Report,,15.0,2.0,19.4,1.0,1.0,2.0,2024.0
20,Cruz Azul,FC Juárez,2024-10-23,Home,19:00,Liga MX,Apertura 2024 Regular Season,Wed,W,4.0,0.0,2.7,0.4,63.0,26278.0,Charly Rodríguez,3-4-3,4-3-3,Vicente Arce,Match Report,,24.0,9.0,15.8,0.0,0.0,0.0,2024.0
21,Cruz Azul,UNAM,2024-10-26,Away,19:00,Liga MX,Apertura 2024 Regular Season,Sat,W,2.0,0.0,1.1,0.8,59.0,37576.0,Ignacio Rivero,3-4-3,5-3-2,César Arturo Ramos,Match Report,,10.0,4.0,16.2,0.0,0.0,0.0,2024.0
22,Cruz Azul,Santos,2024-11-02,Home,21:10,Liga MX,Apertura 2024 Regular Season,Sat,W,2.0,0.0,2.1,0.3,60.0,24271.0,Charly Rodríguez,3-4-3,4-2-3-1,Karen Hernández,Match Report,,22.0,8.0,19.8,2.0,0.0,0.0,2024.0
23,Cruz Azul,Atlas,2024-11-06,Away,21:05,Liga MX,Apertura 2024 Regular Season,Wed,D,2.0,2.0,1.3,0.9,53.0,242024.0,Ignacio Rivero,3-4-3,3-5-1-1,Víctor Cáceres,Match Report,,8.0,2.0,21.2,0.0,1.0,1.0,2024.0
24,Cruz Azul,UANL,2024-11-09,Home,21:05,Liga MX,Apertura 2024 Regular Season,Sat,D,1.0,1.0,2.1,1.0,70.0,26536.0,Charly Rodríguez,3-1-4-2,4-2-3-1,Adonai Escobedo,Match Report,,18.0,3.0,18.6,0.0,0.0,0.0,2024.0
25,Cruz Azul,Tijuana,2024-11-27,Away,19:10,Liga MX,Apertura — Quarter-finals,Wed,L,0.0,3.0,0.3,2.0,27.0,25333.0,Ignacio Rivero,3-4-3,4-2-3-1,Fernando Hernández,Match Report,Leg 1 of 2,8.0,0.0,19.7,0.0,0.0,0.0,2024.0
26,Cruz Azul,Tijuana,2024-11-30,Home,19:10,Liga MX,Apertura — Quarter-finals,Sat,W,3.0,0.0,4.5,0.9,57.0,24975.0,Ignacio Rivero,4-3-3,5-3-2,Víctor Cáceres,Match Report,Leg 2 of 2; Cruz Azul won,28.0,9.0,16.0,0.0,0.0,0.0,2024.0
